fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.29349062,0.11397364,0.477962,0.54440254,0.44863963,0.4315643,0.47697565,0.493115,0.47307467
0,2,0.11847753,0.11723716,0.4858974,0.5030063,0.46418238,0.497758,0.50075305,0.47908154,0.47060302
0,3,0.097903214,0.10801323,0.4653856,0.50019264,0.44160247,0.4288031,0.47394884,0.47835267,0.46941367
0,4,0.080851614,0.1069152,0.4629476,0.5008576,0.44153488,0.42598245,0.4706012,0.4779225,0.46078727
1,1,0.2928452,0.11589904,0.4820921,0.50435716,0.4679555,0.42359084,0.51914006,0.5195389,0.45797035
1,2,0.12149542,0.11077513,0.47180238,0.5022731,0.4655436,0.4244296,0.4925275,0.48456368,0.46147692
1,3,0.0981652,0.107523344,0.4654223,0.4928315,0.46881515,0.42994252,0.4603662,0.48785022,0.45272806
1,4,0.08256286,0.10600559,0.46175924,0.49254552,0.46163455,0.41846916,0.45869678,0.4847486,0.45446104
2,1,0.2957491,0.11246894,0.4756415,0.5048535,0.49025363,0.4307721,0.4817761,0.48072478,0.46546885
2,2,0.12447601,0.10731944,0.4644102,0.4782232,0.4548089,0.43467933,0.4605607,0.5057267,0.45246217
2,3,0.09935641,0.100111574,0.44812715,0.46434048,0.46249795,0.40614876,0.4487649,0.46659404,0.44041693
2,4,0.081921495,0.09877056,0.44510302,0.46479627,0.44882244,0.4055814,0.44545758,0.4658828,0.4400773
3,1,0.30074003,0.12223334,0.49501362,0.50501466,0.46158347,0.43250227,0.4711312,0.58513784,0.5147123
3,2,0.1201213,0.106724724,0.4631853,0.4826417,0.44735906,0.42862192,0.4695933,0.48039886,0.4704969
3,3,0.09762856,0.103173174,0.45497724,0.4773926,0.4487492,0.42396432,0.45515987,0.483621,0.44097647
3,4,0.079509445,0.10293785,0.45451307,0.47642684,0.44619992,0.4236077,0.45721355,0.48183239,0.441798
