fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.3175625,0.11567213,0.48107147,0.4922524,0.4862844,0.4319454,0.4725001,0.5511384,0.45230818
0,2,0.11398117,0.106150694,0.4612333,0.5071325,0.4461339,0.4256856,0.46626884,0.47572806,0.4464509
0,3,0.10419783,0.100833274,0.44940916,0.48158157,0.44257075,0.41193312,0.45450106,0.46816808,0.43770018
0,4,0.09434447,0.10021138,0.44800234,0.4801023,0.44136706,0.41162154,0.45052144,0.46668884,0.43771297
1,1,0.31459832,0.11774469,0.48564032,0.52566093,0.45657545,0.43391958,0.47353742,0.5542351,0.46991348
1,2,0.11453669,0.108335696,0.46615294,0.4988064,0.454093,0.42399162,0.47714514,0.4823866,0.46049494
1,3,0.10025537,0.104535416,0.45781323,0.4919407,0.4485044,0.4214297,0.45244917,0.47699985,0.45555565
1,4,0.09407307,0.10352514,0.4555346,0.49227238,0.44238275,0.4189175,0.4523031,0.47256076,0.45477128
2,1,0.3190758,0.117296554,0.4863911,0.49801415,0.49068052,0.43422064,0.4911398,0.5111932,0.49309826
2,2,0.11349901,0.11070834,0.47161317,0.53148633,0.45597798,0.42353687,0.47979003,0.47970903,0.45917884
2,3,0.10161758,0.108080365,0.4660847,0.49504128,0.4533243,0.42237908,0.48773083,0.47993454,0.45809808
2,4,0.09336631,0.105259836,0.45989653,0.48621315,0.45117772,0.41660875,0.46849412,0.48069918,0.45618618
3,1,0.31976956,0.1133083,0.47725305,0.49532747,0.45913354,0.43472803,0.45973608,0.5015877,0.51300544
3,2,0.118007556,0.10613433,0.4616511,0.5021042,0.45460978,0.41974252,0.46976855,0.4775768,0.4461048
3,3,0.1028831,0.09992546,0.44780883,0.4845063,0.4435093,0.41427508,0.43763956,0.4664952,0.44042745
3,4,0.0953216,0.0996512,0.44715628,0.48389202,0.4427732,0.4138398,0.43722096,0.46546498,0.43974653
