fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.12332021,0.10905462,0.46724376,0.50886524,0.46532404,0.41962346,0.46432376,0.49469644,0.45062947
0,2,0.107630126,0.10052387,0.44865045,0.48421624,0.4437206,0.41070703,0.45163482,0.46566516,0.43595874
0,3,0.09507596,0.09984761,0.44719335,0.47779575,0.44275668,0.410933,0.44972745,0.46610594,0.43584114
1,1,0.122619994,0.11329121,0.477165,0.50862813,0.46742293,0.43917632,0.4623592,0.4790872,0.5063163
1,2,0.108404435,0.10539866,0.45983794,0.5044008,0.44408068,0.42039776,0.4543147,0.47423908,0.46159467
1,3,0.095705174,0.10335419,0.4552873,0.4919293,0.4447469,0.41900846,0.45177072,0.47072923,0.45353904
2,1,0.123868786,0.13808502,0.5281289,0.5505252,0.55008304,0.46684575,0.5390564,0.498646,0.56361705
2,2,0.106705874,0.105279736,0.46024755,0.48575047,0.45227924,0.42708105,0.4681139,0.47347537,0.4547854
2,3,0.0928264,0.104471005,0.45822504,0.4844257,0.45146272,0.41533154,0.4665174,0.4750954,0.45651743
3,1,0.12423442,0.10834746,0.4665395,0.49802577,0.44774786,0.47221377,0.44432893,0.48621595,0.45070466
3,2,0.10971142,0.10299584,0.45462927,0.4855762,0.4559296,0.41486743,0.4659012,0.4683917,0.4371094
3,3,0.095965974,0.09898608,0.44552016,0.48449677,0.4418264,0.41154832,0.4347888,0.46398917,0.43647164
