fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.13248767,0.111946486,0.4740089,0.49470893,0.45406762,0.43469948,0.49289122,0.5182336,0.44945243
0,2,0.11444129,0.11191756,0.47366953,0.48775744,0.5189384,0.4130852,0.49415126,0.47953016,0.4485546
0,3,0.09359869,0.10208256,0.4523439,0.48335767,0.44712505,0.41302246,0.45603803,0.4695288,0.44499132
0,4,0.081694,0.10227022,0.45274886,0.48157847,0.4469011,0.41252875,0.45831335,0.47086427,0.446307
1,1,0.13049059,0.121261016,0.49367222,0.54307044,0.47486708,0.43419093,0.47779685,0.5140631,0.5180449
1,2,0.11011488,0.11067634,0.47155917,0.49550453,0.47193992,0.43157187,0.4677744,0.5024421,0.46012214
1,3,0.09096997,0.10812813,0.46609166,0.49389732,0.45359308,0.42903894,0.4691236,0.49034688,0.46055004
1,4,0.07881917,0.108263865,0.46648327,0.49190247,0.45462045,0.425399,0.47237173,0.49248698,0.462119
2,1,0.1303124,0.11745453,0.48593116,0.50718,0.50032866,0.4276049,0.48052347,0.52871966,0.47123015
2,2,0.10788885,0.10981562,0.46982673,0.4940565,0.45223364,0.4345069,0.48123765,0.48779565,0.46913022
2,3,0.09059698,0.10790584,0.46558762,0.48727044,0.45062467,0.42381787,0.47354203,0.49205825,0.46621242
2,4,0.07849707,0.106935665,0.46358514,0.48642936,0.44924617,0.42395103,0.47154936,0.48681638,0.46351862
3,1,0.13020173,0.12548842,0.5021322,0.5075589,0.46896872,0.502348,0.4577634,0.6057243,0.47042996
3,2,0.11082681,0.108004935,0.46639368,0.5120557,0.4610427,0.42748493,0.46206024,0.48794016,0.4477783
3,3,0.09369781,0.10445971,0.4582764,0.49909565,0.4603876,0.41543472,0.45015627,0.48009565,0.44448847
3,4,0.080893606,0.10480694,0.45898545,0.4947225,0.4595244,0.41481298,0.453043,0.4864062,0.44540372
