fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.27180552,0.14062764,0.532369,0.52217245,0.58096087,0.50274116,0.54731226,0.516917,0.52411044
0,2,0.12190639,0.1267778,0.5043356,0.56060886,0.48904082,0.47490644,0.46963423,0.47833568,0.55348766
0,3,0.095586896,0.10725033,0.46351793,0.49961683,0.46910337,0.41259408,0.47174522,0.4713426,0.4567057
0,4,0.07950692,0.10201023,0.45199814,0.48038384,0.44472122,0.41221556,0.46023285,0.46970877,0.4447266
1,1,0.28093302,0.12831813,0.508095,0.50051266,0.48106933,0.453254,0.4833298,0.58886755,0.54153687
1,2,0.11873899,0.11017259,0.47103336,0.49696687,0.47265103,0.44843322,0.45833874,0.48238426,0.46742612
1,3,0.09368006,0.104771614,0.45870075,0.4880308,0.4476693,0.4214384,0.4551869,0.4839108,0.45596826
1,4,0.07571205,0.10445177,0.45807615,0.48586687,0.44648314,0.42124087,0.45544565,0.48185453,0.4575659
2,1,0.267909,0.12465259,0.4992814,0.50922817,0.463384,0.45196822,0.49251005,0.60438293,0.4742151
2,2,0.11765655,0.11250133,0.47560453,0.53650296,0.45700154,0.42202076,0.47763458,0.5001143,0.460353
2,3,0.093777515,0.10881531,0.46769845,0.4845158,0.45407978,0.4470207,0.47546884,0.4892301,0.45587552
2,4,0.07353242,0.10599398,0.46153107,0.48321995,0.4510635,0.4256952,0.46974772,0.48262292,0.456837
3,1,0.27859372,0.11335681,0.4767548,0.50027484,0.45857555,0.42904264,0.46684572,0.5443552,0.461435
3,2,0.11905072,0.10968877,0.46946493,0.5384171,0.4652402,0.42783257,0.45566046,0.48132855,0.44831073
3,3,0.093599685,0.10946402,0.46890673,0.49310192,0.46273476,0.42961425,0.4545776,0.51185435,0.46155742
3,4,0.07614996,0.10379504,0.45669726,0.49048933,0.45631483,0.42212224,0.4494834,0.47485593,0.44691786
