fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,4,0.08040018,0.099880636,0.4472854,0.48081258,0.44281232,0.40776324,0.4508103,0.46054214,0.44097164
1,4,0.081935994,0.10227065,0.45291674,0.4827759,0.44155166,0.41800007,0.45352367,0.47169682,0.44995236
2,4,0.086143196,0.10630672,0.46208552,0.48528185,0.4547602,0.42028272,0.47050327,0.48208585,0.45959926
3,4,0.08039528,0.10163171,0.45175424,0.48544666,0.45257208,0.4123356,0.44484478,0.4746726,0.44065392
