fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.2861517,0.123444304,0.49850014,0.5023225,0.55943495,0.5066506,0.4686684,0.48921013,0.46471414
0,2,0.12099351,0.11321182,0.4777014,0.50375706,0.46249148,0.46270126,0.4785101,0.49057323,0.46817502
0,3,0.09414507,0.109964535,0.4706265,0.48670158,0.47507593,0.45855585,0.45965517,0.4812467,0.4625236
0,4,0.07651287,0.10598348,0.46161714,0.48545125,0.4515179,0.4419351,0.45590648,0.47832265,0.45656955
1,1,0.28221065,0.11514356,0.4816382,0.50847954,0.45442438,0.49294785,0.47432303,0.5042404,0.45541397
1,2,0.11887786,0.10911202,0.46810818,0.50544566,0.45439452,0.42523974,0.46828836,0.48234788,0.47293282
1,3,0.09337252,0.1058076,0.4611406,0.49409586,0.4598225,0.41593614,0.4610114,0.4774153,0.45856243
1,4,0.077258825,0.10462295,0.45840225,0.49347392,0.45379645,0.4167245,0.4627828,0.4768817,0.44675416
2,1,0.29223725,0.10884546,0.46774468,0.50457066,0.45798805,0.41925648,0.4661212,0.4929984,0.46553332
2,2,0.11814223,0.11620304,0.48248327,0.51355803,0.45469046,0.4121525,0.5135593,0.4884634,0.5124759
2,3,0.093619764,0.10807465,0.4658307,0.48343384,0.46792156,0.41302547,0.49469227,0.4873961,0.44851518
2,4,0.07565242,0.102699615,0.45376983,0.47913572,0.454512,0.4027056,0.4557264,0.4803913,0.45014796
3,1,0.2859685,0.11518387,0.4810427,0.5346351,0.47825554,0.45209652,0.46699527,0.48339713,0.47087654
3,2,0.12064007,0.11386128,0.47858486,0.49366274,0.47521636,0.49405146,0.45857054,0.503886,0.44612202
3,3,0.09717738,0.10537478,0.45970154,0.49653122,0.45575148,0.42105293,0.4569826,0.4736236,0.45426732
3,4,0.08021194,0.102002785,0.4518757,0.4884696,0.44048226,0.40600988,0.4574446,0.47404858,0.44479904
