fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,4,0.0861991,0.108529404,0.46731147,0.49075964,0.4549715,0.4435462,0.4584236,0.49134627,0.46482146
1,4,0.08651553,0.10659982,0.46258855,0.49901915,0.45808148,0.41731104,0.4668619,0.49012285,0.44413477
2,4,0.08730648,0.10408156,0.456892,0.4883961,0.45361838,0.4086794,0.45719284,0.48644435,0.4470208
3,4,0.08867321,0.10546731,0.46013728,0.48973534,0.45027986,0.4123718,0.4648517,0.48191652,0.46166855
99.0,99.0,0.08717357367277145,0.10616952925920486,0.46173232793807983,0.4919775724411011,0.45423778891563416,0.42047709226608276,0.46183252334594727,0.4874575138092041,0.4544113874435425
