fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.28490958,0.11867161,0.48934054,0.5293251,0.46265003,0.4700105,0.47503278,0.50414884,0.49487585
0,2,0.1130223,0.1103401,0.47153845,0.5039191,0.45729852,0.44179645,0.46564338,0.49040857,0.47016472
0,3,0.09629313,0.10925824,0.46891847,0.4977096,0.45270854,0.44242916,0.46538413,0.49150714,0.46377233
0,4,0.0861991,0.108529404,0.46731147,0.49075964,0.4549715,0.4435462,0.4584236,0.49134627,0.46482146
1,1,0.2819867,0.11562949,0.4828218,0.510362,0.46303785,0.49178421,0.47091773,0.49598482,0.46484408
1,2,0.114694804,0.11160755,0.47348514,0.5110916,0.4783203,0.4216578,0.47613508,0.5041724,0.44953364
1,3,0.098019876,0.10751105,0.46456614,0.49954185,0.45798218,0.42099935,0.46507546,0.49860272,0.44519535
1,4,0.08651553,0.10659982,0.46258855,0.49901915,0.45808148,0.41731104,0.4668619,0.49012285,0.44413477
2,1,0.28533632,0.11982223,0.4902554,0.5688241,0.46360743,0.44805858,0.4931493,0.502096,0.46579698
2,2,0.11705606,0.12190455,0.4938424,0.5459239,0.4940067,0.4221341,0.4617254,0.57123005,0.4680342
2,3,0.09973158,0.10584822,0.46063426,0.5019965,0.4560246,0.40900165,0.45877525,0.48532227,0.4526854
2,4,0.08730648,0.10408156,0.456892,0.4883961,0.45361838,0.4086794,0.45719284,0.48644435,0.4470208
3,1,0.28671175,0.13559255,0.5228006,0.5589561,0.59685683,0.5047218,0.51512706,0.4935479,0.46759412
3,2,0.11893843,0.11292372,0.47589564,0.53754115,0.45357895,0.4281272,0.46427673,0.48597175,0.48587802
3,3,0.099746116,0.10968015,0.4691905,0.51436937,0.4497082,0.41554672,0.4645371,0.48267177,0.48830986
3,4,0.08867321,0.10546731,0.46013728,0.48973534,0.45027986,0.4123718,0.4648517,0.48191652,0.46166855
