fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.34754777,0.115308225,0.4808124,0.5359691,0.46624205,0.44294184,0.4725576,0.5129814,0.4541825
0,2,0.12157301,0.10701588,0.4632322,0.49836954,0.45296726,0.43437064,0.45732582,0.4839144,0.4524453
0,3,0.107070595,0.10459743,0.45787287,0.49560392,0.44424394,0.42396197,0.46553794,0.4797222,0.43816733
0,4,0.09918318,0.10346712,0.45532247,0.4948426,0.44590673,0.4177932,0.4560024,0.47912437,0.43826547
1,1,0.3533355,0.117254384,0.48560145,0.52566606,0.46078318,0.44720373,0.47797266,0.5307008,0.47128236
1,2,0.12286512,0.13251477,0.51640755,0.50281805,0.47238705,0.47529683,0.56365573,0.5677372,0.51655066
1,3,0.10732226,0.108737975,0.46718916,0.49796695,0.4545386,0.43508384,0.46318525,0.49376503,0.45859522
1,4,0.09715893,0.107032776,0.46335778,0.49809164,0.45136198,0.42476392,0.4625511,0.48865703,0.45472088
2,1,0.3429805,0.120787196,0.4932268,0.5131607,0.48356512,0.4519689,0.48748526,0.5142988,0.5088822
2,2,0.119126186,0.11028398,0.4711031,0.49972394,0.4618711,0.4284155,0.48507917,0.48350233,0.46802637
2,3,0.10656784,0.10726465,0.46453783,0.49635828,0.4576956,0.42428416,0.47213176,0.47772354,0.45903367
2,4,0.09762707,0.10638283,0.462499,0.49415234,0.45117337,0.42358342,0.46940288,0.47857007,0.45811176
3,1,0.35237032,0.12201236,0.49444595,0.5598334,0.48334596,0.4351699,0.4646535,0.5598398,0.46383315
3,2,0.12204239,0.10873458,0.46761665,0.49657637,0.44981745,0.44348088,0.48326764,0.49003634,0.4425213
3,3,0.10780207,0.104045875,0.4571092,0.49162087,0.44862488,0.4226559,0.45452565,0.4837584,0.44146973
3,4,0.09822634,0.10277121,0.4542868,0.49151495,0.44798934,0.41913545,0.45142025,0.47599912,0.43966165
