fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.23812096,0.1106555,0.47093976,0.5149951,0.5004985,0.4299029,0.45472983,0.4782887,0.44722375
0,2,0.11457214,0.11311028,0.4757084,0.5010601,0.51473534,0.42276272,0.44455698,0.5121482,0.45898703
0,3,0.089448385,0.10139013,0.45067266,0.49095625,0.4453054,0.4141686,0.44728023,0.46077138,0.4455541
0,4,0.07117536,0.101012796,0.4497641,0.49249688,0.4448735,0.409033,0.4462244,0.46323317,0.44272354
1,1,0.235253,0.11411723,0.4788219,0.4965542,0.4845417,0.42173237,0.49451306,0.47854456,0.49704567
1,2,0.11075857,0.110113256,0.4704927,0.48861602,0.44466296,0.49251914,0.4639313,0.47936785,0.45385888
1,3,0.087734506,0.10601055,0.46143034,0.48379442,0.4614794,0.41758576,0.46694592,0.485358,0.4534186
1,4,0.070812516,0.1039561,0.45693734,0.4792897,0.4490216,0.417858,0.4680097,0.4741151,0.4533299
2,1,0.23464774,0.11729967,0.48362195,0.5816618,0.49908942,0.42281342,0.45402867,0.4852604,0.458878
2,2,0.113885425,0.10730298,0.46415904,0.4801658,0.45697293,0.43660322,0.47461835,0.4723254,0.46426848
2,3,0.089143604,0.10244318,0.45307097,0.471403,0.4705349,0.41881764,0.4435901,0.47959462,0.43448544
2,4,0.071884654,0.10021392,0.448099,0.47139075,0.4519312,0.41172892,0.44338444,0.47517735,0.43498108
3,1,0.24058384,0.113712795,0.47789574,0.5233362,0.44711047,0.4384535,0.46672422,0.47991937,0.51183075
3,2,0.11240675,0.10853677,0.46723616,0.49299964,0.47244647,0.4481801,0.46191138,0.47421655,0.45366275
3,3,0.08842243,0.1046579,0.45863566,0.48484272,0.44342643,0.43174085,0.4609706,0.47215304,0.45868033
3,4,0.072280936,0.10313874,0.45508695,0.48426276,0.44285285,0.42736554,0.46356332,0.4730702,0.43940678
