fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.3322493,0.10876915,0.46705815,0.5072107,0.45871598,0.42244974,0.4680831,0.487804,0.45808518
0,2,0.12182279,0.113617994,0.47717825,0.5122303,0.46310937,0.432994,0.4680734,0.47799405,0.5086685
0,3,0.10656726,0.10442187,0.4573702,0.4959473,0.44830006,0.4158241,0.4564559,0.48457095,0.4431227
0,4,0.0961649,0.10269074,0.4535669,0.48803592,0.4484088,0.41314274,0.4570742,0.47585344,0.43888628
1,1,0.32556218,0.13529961,0.5226223,0.5694828,0.4832438,0.5182639,0.5125457,0.57175976,0.48043787
1,2,0.12040957,0.11477741,0.4804006,0.5136004,0.4611452,0.4299268,0.47779122,0.5028003,0.49713966
1,3,0.104037285,0.10848577,0.46680126,0.49703026,0.44874534,0.42665,0.4658744,0.49812275,0.46438476
1,4,0.09491901,0.10728579,0.46418285,0.49415615,0.44986603,0.42644435,0.46366632,0.48981094,0.46115348
2,1,0.32464662,0.11768349,0.48722228,0.5117882,0.46518376,0.4397685,0.4862415,0.51357234,0.50677925
2,2,0.12042581,0.11301294,0.47726738,0.50192136,0.466819,0.43821448,0.49444047,0.49012482,0.47208405
2,3,0.1025382,0.109769456,0.46978208,0.50065404,0.46038917,0.42672607,0.47875643,0.48861343,0.46355328
2,4,0.093235776,0.108544014,0.4672314,0.4925173,0.45559296,0.42574093,0.47788408,0.48823783,0.46341524
3,1,0.3308145,0.12735061,0.5063843,0.5241093,0.52386415,0.47171047,0.5435341,0.5259989,0.44908893
3,2,0.122695245,0.10650959,0.46280718,0.5003643,0.45533276,0.42831504,0.45920742,0.4890853,0.44453824
3,3,0.10271212,0.10385468,0.45697042,0.49354562,0.4552715,0.41945913,0.4495252,0.4790961,0.44492498
3,4,0.09365146,0.102801785,0.454615,0.49158546,0.4541409,0.4182659,0.4467886,0.47891244,0.43799675
