fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.21647047,0.11889714,0.488988,0.53904563,0.4396541,0.48758852,0.4703235,0.4981782,0.49913818
0,2,0.11189619,0.11004269,0.4704925,0.5010424,0.46022114,0.44377646,0.4670931,0.48581427,0.46500772
0,3,0.08807509,0.10713255,0.4637142,0.50195754,0.43798062,0.4306261,0.46439767,0.48733878,0.45998436
0,4,0.069226146,0.106810346,0.46305826,0.5037926,0.43751925,0.43273136,0.46419024,0.47784927,0.46226692
1,1,0.21782069,0.11079734,0.47148314,0.50994456,0.47047183,0.44037575,0.46037185,0.49660686,0.4511282
1,2,0.111369774,0.10573529,0.46040836,0.49038735,0.47098908,0.4055086,0.46840492,0.47677234,0.45038775
1,3,0.0877124,0.10922963,0.4679205,0.49695715,0.46344995,0.41703132,0.4611446,0.5122104,0.45672944
1,4,0.07061971,0.10412201,0.45678416,0.49253955,0.4576549,0.40753686,0.45630944,0.48135564,0.44530863
2,1,0.21167465,0.14884382,0.54526395,0.520199,0.648276,0.4178382,0.5925275,0.5516588,0.5410842
2,2,0.11390825,0.104888864,0.45900658,0.48026338,0.4767373,0.42877316,0.44662377,0.4752403,0.4464016
2,3,0.0875959,0.09960542,0.44685838,0.4647224,0.45176584,0.4104978,0.4554868,0.46391726,0.43476012
2,4,0.070447184,0.09891337,0.44530618,0.46388683,0.44766688,0.4111816,0.4544249,0.4644694,0.43020752
3,1,0.21956682,0.110190615,0.47026733,0.49333316,0.51377946,0.4369072,0.4541181,0.47574797,0.4477182
3,2,0.112257056,0.10626065,0.4618362,0.48527828,0.46239948,0.44475618,0.46400058,0.47610784,0.4384745
3,3,0.087578714,0.101066194,0.45032194,0.47689772,0.44338062,0.42033204,0.45301178,0.4727187,0.43559095
3,4,0.070482075,0.10103648,0.45020148,0.47664425,0.44405973,0.41839972,0.45014042,0.4748274,0.43713713
