fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,4,0.069226146,0.106810346,0.46305826,0.5037926,0.43751925,0.43273136,0.46419024,0.47784927,0.46226692
1,4,0.07061971,0.10412201,0.45678416,0.49253955,0.4576549,0.40753686,0.45630944,0.48135564,0.44530863
2,4,0.070447184,0.09891337,0.44530618,0.46388683,0.44766688,0.4111816,0.4544249,0.4644694,0.43020752
3,4,0.070482075,0.10103648,0.45020148,0.47664425,0.44405973,0.41839972,0.45014042,0.4748274,0.43713713
