fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,3,0.08341,0.09872,0.44457,0.475,0.439,0.408,0.449,0.463,0.433
1,3,0.08252,0.10199,0.45244,0.480,0.441,0.423,0.456,0.469,0.447
2,3,0.08172,0.1032,0.45539,0.476,0.447,0.415,0.466,0.474,0.454
3,3,0.081432045,0.1005786,0.44896555,0.48661488,0.45010194,0.41115937,0.4403575,0.47093415,0.4346254
