fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.33888847,0.1336798,0.51912826,0.57760334,0.46644592,0.44252956,0.59637904,0.5153578,0.5164539
0,2,0.11701775,0.13160637,0.51505166,0.5155326,0.44916335,0.57619965,0.5279816,0.5262772,0.49515545
0,3,0.097792014,0.11238122,0.4754763,0.5180244,0.44707385,0.438004,0.47902796,0.49285448,0.4778732
0,4,0.0857837,0.111494415,0.4735262,0.5125566,0.44747823,0.43389362,0.4785781,0.49265212,0.47599834
1,1,0.3369643,0.12367705,0.4973198,0.6026177,0.48459864,0.43368077,0.478554,0.5052899,0.47917756
1,2,0.118097655,0.11513196,0.4818498,0.5022085,0.46757543,0.4842911,0.46242496,0.4992021,0.47539657
1,3,0.09831163,0.109441444,0.46904805,0.5002611,0.46753705,0.41500905,0.47213104,0.4920337,0.46731642
1,4,0.08725578,0.107607365,0.4650949,0.4976022,0.46678165,0.4167298,0.45820168,0.48773882,0.46351522
2,1,0.33601964,0.115063526,0.4808371,0.4958512,0.5160945,0.41993743,0.46430227,0.5185777,0.47025952
2,2,0.11761145,0.10986138,0.47028446,0.49892607,0.47751614,0.4577452,0.44254345,0.49410367,0.45087215
2,3,0.09832185,0.101574875,0.45148027,0.4830583,0.4503034,0.40878004,0.44095042,0.47894683,0.4468427
2,4,0.086893745,0.10050904,0.44908154,0.4748711,0.4485306,0.40827993,0.44064504,0.4780169,0.44414568
3,1,0.33466774,0.12588435,0.50217825,0.6123906,0.46752346,0.46914935,0.4821056,0.5029014,0.47899956
3,2,0.116560146,0.11619742,0.48300728,0.5445857,0.46639353,0.448189,0.46708465,0.49434605,0.47744465
3,3,0.09877505,0.10615882,0.46173704,0.48739824,0.45434442,0.4322007,0.45844832,0.48781687,0.45021364
3,4,0.086669885,0.10496664,0.45909524,0.47851977,0.45376363,0.43098214,0.45891684,0.48682725,0.4455617
