fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.13659994,0.12667108,0.502877,0.6146077,0.48352414,0.42154843,0.52698755,0.48975542,0.48083887
0,2,0.110431336,0.108448565,0.46625733,0.514404,0.44227755,0.4264967,0.4704283,0.47881594,0.46512166
0,3,0.08466305,0.10664393,0.46235666,0.50069153,0.43971232,0.42524508,0.46964803,0.47834006,0.46050283
1,1,0.13970014,0.12705004,0.5022677,0.49499187,0.50178224,0.4341392,0.46228036,0.6517635,0.46864933
1,2,0.11114462,0.1078543,0.46554288,0.48721883,0.478834,0.41295546,0.46685925,0.49269024,0.45469928
1,3,0.0867143,0.10558677,0.4607108,0.4901348,0.46045032,0.41632825,0.45854613,0.48746425,0.451341
2,1,0.13979724,0.10455555,0.45810297,0.4883423,0.4614473,0.41020563,0.45263124,0.4801313,0.4558603
2,2,0.11149964,0.101742715,0.45203844,0.46640465,0.4491732,0.42014083,0.4538225,0.46884117,0.4538483
2,3,0.08866444,0.098277815,0.4439592,0.46374315,0.44782224,0.40471286,0.44394022,0.46519458,0.43834233
3,1,0.13946812,0.13776553,0.5239637,0.5150822,0.62614787,0.44783977,0.60667074,0.48448533,0.46355617
3,2,0.10958996,0.10461251,0.4584463,0.4822875,0.4437478,0.43850124,0.45697445,0.47640637,0.4527605
3,3,0.087042846,0.101827614,0.4520159,0.47747797,0.44280604,0.42022413,0.45248052,0.4782067,0.4409002
