fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.13708021,0.14782743,0.54402167,0.5524399,0.4848224,0.44590953,0.60855025,0.62166685,0.55074066
0,2,0.11079429,0.1033059,0.4552338,0.48090225,0.44719857,0.4322449,0.4630123,0.4674884,0.4405567
0,3,0.08574221,0.10117057,0.45017728,0.48024276,0.44480392,0.41204658,0.45599264,0.4654029,0.44257474
1,1,0.1370475,0.11867675,0.48944092,0.51770747,0.49245122,0.46451166,0.49614695,0.4846772,0.48115095
1,2,0.10944257,0.105329946,0.4599223,0.49291188,0.44831127,0.4214889,0.45564836,0.48025906,0.46091425
1,3,0.085165285,0.10376931,0.45647225,0.48653314,0.44521746,0.41989496,0.45270264,0.47798824,0.45649707
2,1,0.13784254,0.12601204,0.504096,0.49415725,0.5361109,0.4981417,0.47965673,0.5084369,0.50807244
2,2,0.10938757,0.106606446,0.46259567,0.48383763,0.4568346,0.41946352,0.46717244,0.4935336,0.45473245
2,3,0.0879304,0.10459384,0.45822012,0.4814479,0.4492701,0.41971728,0.46272305,0.48226205,0.4539005
3,1,0.13751586,0.12187656,0.4945391,0.5148549,0.46020502,0.44212604,0.5142109,0.5827925,0.45304522
3,2,0.10794547,0.10647733,0.46219373,0.50729424,0.4633918,0.41601977,0.44494784,0.4915899,0.4499188
3,3,0.08358253,0.10226046,0.45308042,0.48804444,0.45244384,0.41617444,0.44651267,0.47267386,0.44263318
