fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.239099,0.11705142,0.4844691,0.49712226,0.45853958,0.47706974,0.54248285,0.48417753,0.44742277
0,2,0.11284266,0.11029559,0.46927872,0.5452019,0.440418,0.42061606,0.45130074,0.4884867,0.46964914
0,3,0.08971082,0.09958492,0.44656095,0.47749436,0.43771023,0.40941164,0.45184752,0.465038,0.43786392
0,4,0.07352737,0.09963409,0.44671655,0.47614327,0.4386636,0.41003838,0.45271507,0.4661663,0.4365726
1,1,0.23642029,0.12145137,0.49479488,0.50170904,0.5048804,0.46616867,0.4887493,0.5260575,0.48120457
1,2,0.11272367,0.10453311,0.45820692,0.48364985,0.44505456,0.4305903,0.45926952,0.47307044,0.45760694
1,3,0.08938733,0.10527893,0.4597386,0.49413458,0.44592845,0.42372864,0.46371272,0.4704666,0.46046072
1,4,0.07357522,0.10318164,0.45514414,0.4826379,0.44365644,0.42392686,0.457923,0.47034103,0.45237944
2,1,0.23896964,0.11972224,0.49130413,0.4873616,0.45992258,0.4899868,0.4704074,0.52092457,0.51922166
2,2,0.11114833,0.10561372,0.46096542,0.48193124,0.45295322,0.41804817,0.46922782,0.47842208,0.4652101
2,3,0.089249685,0.107901596,0.46574554,0.49214008,0.44850993,0.43259558,0.46879667,0.48180622,0.47062472
2,4,0.0743549,0.103761405,0.4565786,0.47840127,0.448847,0.41283834,0.46768445,0.47696036,0.45474005
3,1,0.24003607,0.11068518,0.47035745,0.5462955,0.4574144,0.42219707,0.487124,0.47479594,0.43431795
3,2,0.11385497,0.10454919,0.4579158,0.49165878,0.45832556,0.41608158,0.447713,0.47395542,0.4597605
3,3,0.090752356,0.10095013,0.4498687,0.4836076,0.4495831,0.41361678,0.44395465,0.47547778,0.4329722
3,4,0.073649645,0.10149428,0.45106646,0.48655337,0.45210433,0.41366524,0.44465688,0.47386318,0.4355557
