fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.23989475,0.11612549,0.48319197,0.5162241,0.4652701,0.4308714,0.50022644,0.49984336,0.48671612
0,2,0.114924505,0.1114005,0.47277224,0.52633274,0.4414032,0.42312098,0.47876865,0.48612916,0.4808789
0,3,0.096875384,0.10823301,0.46573314,0.5228521,0.43881577,0.42213413,0.47232836,0.476887,0.46138135
0,4,0.083834276,0.10620992,0.46154752,0.5037608,0.4380437,0.42167217,0.46969807,0.47504944,0.4610611
1,1,0.23944962,0.1192869,0.49014363,0.50491524,0.47469708,0.43859494,0.47652903,0.54068357,0.5054418
1,2,0.11582609,0.11222911,0.47504556,0.5069904,0.46268743,0.46564233,0.46283984,0.48706993,0.46504337
1,3,0.09614452,0.10409811,0.45724478,0.49080816,0.4606851,0.40836948,0.45176384,0.4812667,0.45057544
1,4,0.08371349,0.10349584,0.45588934,0.48731303,0.45812535,0.4080785,0.45013544,0.48087862,0.45080507
2,1,0.24257584,0.11631999,0.48377845,0.5094713,0.47883752,0.43796518,0.45788547,0.51623964,0.5022714
2,2,0.116915174,0.10205272,0.4524181,0.48177832,0.4517123,0.40860376,0.4592442,0.4734736,0.43969643
2,3,0.097268306,0.09986765,0.44752157,0.4692109,0.4517375,0.4085981,0.44456527,0.4751723,0.43584517
2,4,0.083984956,0.0984356,0.44427124,0.46732512,0.44613028,0.40510496,0.44492313,0.46816295,0.43398097
3,1,0.24912967,0.11537203,0.48210275,0.5145224,0.4823041,0.4473889,0.48590824,0.50886256,0.45363033
3,2,0.11591456,0.12138868,0.49314943,0.53573847,0.453792,0.42664853,0.468673,0.5371801,0.5368644
3,3,0.09832189,0.10379977,0.45659664,0.4772783,0.4638071,0.42104006,0.45280147,0.47982323,0.4448298
3,4,0.08492054,0.10157153,0.45158207,0.47390616,0.4473477,0.42005295,0.4525817,0.4736079,0.44199616
