fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,4,0.083834276,0.10620992,0.46154752,0.5037608,0.4380437,0.42167217,0.46969807,0.47504944,0.4610611
1,4,0.08371349,0.10349584,0.45588934,0.48731303,0.45812535,0.4080785,0.45013544,0.48087862,0.45080507
2,4,0.083984956,0.0984356,0.44427124,0.46732512,0.44613028,0.40510496,0.44492313,0.46816295,0.43398097
3,4,0.08492054,0.10157153,0.45158207,0.47390616,0.4473477,0.42005295,0.4525817,0.4736079,0.44199616
