fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.12253777,0.11277434,0.47629318,0.5076827,0.44600728,0.45166665,0.4827289,0.48386943,0.485804
0,2,0.10627023,0.10903988,0.46795404,0.5054418,0.4564448,0.4239244,0.4702508,0.48086816,0.4707942
0,3,0.09333125,0.107249044,0.4639232,0.5055072,0.44005758,0.4243116,0.46917957,0.48090547,0.4635776
1,1,0.12511945,0.10972708,0.46913794,0.49232456,0.46277696,0.41417804,0.51408726,0.4807881,0.45067266
1,2,0.107091,0.1099684,0.46970737,0.49355468,0.48511836,0.4129111,0.45553237,0.5103077,0.46082005
1,3,0.09435021,0.10309828,0.454694,0.4877274,0.45113772,0.40902647,0.4536126,0.47963056,0.44702932
2,1,0.12495802,0.103304274,0.45518842,0.48297322,0.45700797,0.41414505,0.44733837,0.4769727,0.45269322
2,2,0.10810683,0.09843866,0.44422674,0.46823376,0.44570827,0.40937248,0.44323528,0.46890813,0.4299025
2,3,0.095814236,0.097755805,0.4426025,0.46750295,0.44429645,0.40671843,0.44250017,0.46654502,0.42805195
3,1,0.12683837,0.10468498,0.4583981,0.4810234,0.46760103,0.42286974,0.46619642,0.472523,0.44017512
3,2,0.10730497,0.10067559,0.44929695,0.4786046,0.44654942,0.41859707,0.45077622,0.46746606,0.43378824
3,3,0.09554726,0.09971323,0.4470898,0.47452378,0.44754776,0.4149801,0.44696113,0.46635357,0.43217227
