fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,3,0.09333125,0.107249044,0.4639232,0.5055072,0.44005758,0.4243116,0.46917957,0.48090547,0.4635776
1,3,0.09435021,0.10309828,0.454694,0.4877274,0.45113772,0.40902647,0.4536126,0.47963056,0.44702932
2,3,0.095814236,0.097755805,0.4426025,0.46750295,0.44429645,0.40671843,0.44250017,0.46654502,0.42805195
3,3,0.09554726,0.09971323,0.4470898,0.47452378,0.44754776,0.4149801,0.44696113,0.46635357,0.43217227
