fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.123912476,0.11010547,0.4696947,0.5007108,0.46980724,0.42452237,0.4676116,0.5004564,0.45505974
0,2,0.1077653,0.10048154,0.44856346,0.48406765,0.44302633,0.41141406,0.4515342,0.46558133,0.43575716
0,3,0.09518896,0.09974349,0.4469606,0.4775704,0.4418728,0.41159636,0.44931707,0.4658545,0.43555263
1,1,0.12200683,0.11286545,0.47614956,0.5078611,0.46458766,0.43635586,0.46025893,0.4809909,0.506843
1,2,0.10798387,0.105383575,0.4598112,0.5041679,0.44378698,0.42059436,0.45453513,0.47424597,0.46153712
1,3,0.09520593,0.1032863,0.45513305,0.49100643,0.44445333,0.41886047,0.4518469,0.47094917,0.4536819
2,1,0.12397249,0.13665335,0.5253194,0.54919153,0.54562837,0.4656223,0.53248864,0.49706513,0.5619206
2,2,0.10659258,0.1052446,0.46014762,0.48562852,0.4521012,0.42676708,0.46855214,0.47305906,0.45477787
2,3,0.09280135,0.10440868,0.45806667,0.48423526,0.4514251,0.41515568,0.46657878,0.47467047,0.45633486
3,1,0.1242836,0.10819344,0.4662501,0.497424,0.4474408,0.47091737,0.44518152,0.4846707,0.45186603
3,2,0.10950156,0.102938935,0.4545244,0.4846483,0.45557874,0.41538155,0.46530506,0.46881178,0.43742087
3,3,0.09569035,0.09892722,0.44541147,0.4834232,0.44171622,0.41173288,0.43492034,0.46399614,0.43668023
