fold,epoch,train_loss,valid_loss,mcrmse,cohesion,syntax,vocabulary,phraseology,grammar,conventions
0,1,0.3498892,0.12535538,0.5025752,0.52098304,0.44696605,0.4989243,0.5173296,0.53061384,0.50063455
0,2,0.11464363,0.1114117,0.473099,0.50755674,0.4487583,0.42976207,0.5018481,0.4802784,0.47039008
0,3,0.10040788,0.10785431,0.46520448,0.5067039,0.4386208,0.42671525,0.47136497,0.477628,0.47019377
0,4,0.09147554,0.10745927,0.46427143,0.50697595,0.43850988,0.4270563,0.46921968,0.4796585,0.4642081
1,1,0.33977777,0.114835426,0.48077527,0.5192053,0.49022314,0.4497179,0.4679459,0.4879905,0.4695691
1,2,0.112931326,0.10889422,0.46745345,0.49969235,0.45639488,0.43401542,0.46021754,0.49882507,0.45557538
1,3,0.099442296,0.10525516,0.4594837,0.486316,0.45791033,0.41183,0.45514932,0.49302754,0.4526689
1,4,0.091382176,0.10363015,0.45597076,0.4864573,0.4521684,0.4104169,0.4538099,0.48019594,0.4527762
2,1,0.3507495,0.11016973,0.47094277,0.4897991,0.46519166,0.44324568,0.46458724,0.49127215,0.471561
2,2,0.11700987,0.10856747,0.46689475,0.49529177,0.4506848,0.43666935,0.4526021,0.51952434,0.4465963
2,3,0.10217071,0.09931307,0.44627193,0.47182244,0.448236,0.41295865,0.44645625,0.46843606,0.42972216
2,4,0.09478526,0.09826899,0.4439039,0.46618423,0.44765633,0.40882903,0.4441557,0.46639597,0.430202
3,1,0.33563095,0.11091144,0.47210065,0.48866394,0.4731527,0.4317731,0.49497792,0.4953317,0.44870448
3,2,0.114876844,0.106242254,0.46181098,0.48805496,0.4638983,0.42186323,0.45717102,0.4803316,0.45954686
3,3,0.10050656,0.10300519,0.45469508,0.4824616,0.4484133,0.42805162,0.4543346,0.47684953,0.43805978
3,4,0.09185078,0.10065601,0.4494147,0.47337195,0.44794476,0.4181171,0.4502168,0.46953562,0.4373019
